num_samples, total_time, posting_time
6000, 3840, 1974
7000, 4403, 2235
8000, 4880, 2416
9000, 5539, 2770
10000, 5963, 2891
11000, 8409, 5020
12000, 7117, 3414
13000, 7715, 3719
14000, 13437, 9137
15000, 8936, 4270
16000, 9416, 4528
17000, 9868, 4683
18000, 67873, 62367
19000, 11351, 5550
20000, 11571, 5467
5000, 3632, 1684
6000, 3899, 2037
7000, 4443, 2271
8000, 4888, 2420
9000, 5426, 2654
10000, 6014, 2915
11000, 6569, 3191
12000, 7147, 3460
13000, 7628, 3646
14000, 8411, 4121
15000, 8873, 4270
16000, 10537, 5650
17000, 10638, 5451
18000, 11133, 5630
19000, 11712, 5916
20000, 12284, 6184
